Participant,TE,Model,BIC
10,1,1,-636.947210907729
10,2,1,-636.947210907729
10,3,1,-636.947210907729
10,4,1,-636.947210907729
10,1,2,-552.457191323042
10,2,2,-552.457191323042
10,3,2,-552.457191323042
10,4,2,-552.457191323042
10,1,3,-624.88769905607
10,2,3,-624.88769905607
10,3,3,-624.88769905607
10,4,3,-624.88769905607
10,1,4,-556.052241223619
10,2,4,-556.052241223619
10,3,4,-556.052241223619
10,4,4,-556.052241223619
10,1,5,-651.358010329692
10,2,5,-651.358010329692
10,3,5,-651.358010329692
10,4,5,-651.358010329692
11,1,1,-4654.04449793852
11,2,1,-4654.04449793852
11,3,1,-4654.04449793852
11,4,1,-4654.04449793852
11,1,2,-4650.15264037963
11,2,2,-4650.15264037963
11,3,2,-4650.15264037963
11,4,2,-4650.15264037963
11,1,3,-4650.63996259999
11,2,3,-4650.63996259999
11,3,3,-4650.63996259999
11,4,3,-4650.63996259999
11,1,4,-4723.42909763947
11,2,4,-4723.42909763947
11,3,4,-4723.42909763947
11,4,4,-4723.42909763947
11,1,5,-4660.81691929281
11,2,5,-4660.81691929281
11,3,5,-4660.81691929281
11,4,5,-4660.81691929281
12,1,1,-2355.7908757845
12,2,1,-2355.7908757845
12,3,1,-2355.7908757845
12,4,1,-2355.7908757845
12,1,2,-2324.96844138159
12,2,2,-2324.96844138159
12,3,2,-2324.96844138159
12,4,2,-2324.96844138159
12,1,3,-2350.91921395153
12,2,3,-2350.91921395153
12,3,3,-2350.91921395153
12,4,3,-2350.91921395153
12,1,4,-2343.14738072487
12,2,4,-2343.14738072487
12,3,4,-2343.14738072487
12,4,4,-2343.14738072487
12,1,5,-2352.26403190976
12,2,5,-2352.26403190976
12,3,5,-2352.26403190976
12,4,5,-2352.26403190976
13,1,1,-5850.34302474973
13,2,1,-5850.34302474973
13,3,1,-5850.34302474973
13,4,1,-5850.34302474973
13,1,2,-5953.00795669685
13,2,2,-5953.00795669685
13,3,2,-5953.00795669685
13,4,2,-5953.00795669685
13,1,3,-5859.08562280251
13,2,3,-5859.08562280251
13,3,3,-5859.08562280251
13,4,3,-5859.08562280251
13,1,4,-6022.37551832106
13,2,4,-6022.37551832106
13,3,4,-6022.37551832106
13,4,4,-6022.37551832106
13,1,5,-5864.4132014383
13,2,5,-5864.4132014383
13,3,5,-5864.4132014383
13,4,5,-5864.4132014383
14,1,1,-8600.93149995289
14,2,1,-8600.93149995289
14,3,1,-8600.93149995289
14,4,1,-8600.93149995289
14,1,2,-8724.51441737623
14,2,2,-8724.51441737623
14,3,2,-8724.51441737623
14,4,2,-8724.51441737623
14,1,3,-8574.71095682031
14,2,3,-8574.71095682031
14,3,3,-8574.71095682031
14,4,3,-8574.71095682031
14,1,4,-8818.26130436991
14,2,4,-8818.26130436991
14,3,4,-8818.26130436991
14,4,4,-8818.26130436991
14,1,5,-8583.37754054186
14,2,5,-8583.37754054186
14,3,5,-8583.37754054186
14,4,5,-8583.37754054186
15,1,1,-2653.82953975932
15,2,1,-2653.82953975932
15,3,1,-2653.82953975932
15,4,1,-2653.82953975932
15,1,2,-2610.88101705228
15,2,2,-2610.88101705228
15,3,2,-2610.88101705228
15,4,2,-2610.88101705228
15,1,3,-2637.81371869525
15,2,3,-2637.81371869525
15,3,3,-2637.81371869525
15,4,3,-2637.81371869525
15,1,4,-2619.07068079591
15,2,4,-2619.07068079591
15,3,4,-2619.07068079591
15,4,4,-2619.07068079591
15,1,5,-2651.15661702473
15,2,5,-2651.15661702473
15,3,5,-2651.15661702473
15,4,5,-2651.15661702473
16,1,1,-446.804420803977
16,2,1,-446.804420803977
16,3,1,-446.804420803977
16,4,1,-446.804420803977
16,1,2,-430.645991864231
16,2,2,-430.645991864231
16,3,2,-430.645991864231
16,4,2,-430.645991864231
16,1,3,-451.244604642202
16,2,3,-451.244604642202
16,3,3,-451.244604642202
16,4,3,-451.244604642202
16,1,4,-440.43567200333
16,2,4,-440.43567200333
16,3,4,-440.43567200333
16,4,4,-440.43567200333
16,1,5,-453.041085204212
16,2,5,-453.041085204212
16,3,5,-453.041085204212
16,4,5,-453.041085204212
17,1,1,-4628.22029970056
17,2,1,-4628.22029970056
17,3,1,-4628.22029970056
17,4,1,-4628.22029970056
17,1,2,-4713.72824822532
17,2,2,-4713.72824822532
17,3,2,-4713.72824822532
17,4,2,-4713.72824822532
17,1,3,-4638.11111967257
17,2,3,-4638.11111967257
17,3,3,-4638.11111967257
17,4,3,-4638.11111967257
17,1,4,-4735.57305134021
17,2,4,-4735.57305134021
17,3,4,-4735.57305134021
17,4,4,-4735.57305134021
17,1,5,-4623.8515643791
17,2,5,-4623.8515643791
17,3,5,-4623.8515643791
17,4,5,-4623.8515643791
18,1,1,-4552.12827921971
18,2,1,-4552.12827921971
18,3,1,-4552.12827921971
18,4,1,-4552.12827921971
18,1,2,-4609.45743129323
18,2,2,-4609.45743129323
18,3,2,-4609.45743129323
18,4,2,-4609.45743129323
18,1,3,-4572.79356786278
18,2,3,-4572.79356786278
18,3,3,-4572.79356786278
18,4,3,-4572.79356786278
18,1,4,-4664.2764001785
18,2,4,-4664.2764001785
18,3,4,-4664.2764001785
18,4,4,-4664.2764001785
18,1,5,-4576.80436136507
18,2,5,-4576.80436136507
18,3,5,-4576.80436136507
18,4,5,-4576.80436136507
19,1,1,-1109.85192697212
19,2,1,-1109.85192697212
19,3,1,-1109.85192697212
19,4,1,-1109.85192697212
19,1,2,-1098.41447513526
19,2,2,-1098.41447513526
19,3,2,-1098.41447513526
19,4,2,-1098.41447513526
19,1,3,-1107.08406677927
19,2,3,-1107.08406677927
19,3,3,-1107.08406677927
19,4,3,-1107.08406677927
19,1,4,-1111.73097522795
19,2,4,-1111.73097522795
19,3,4,-1111.73097522795
19,4,4,-1111.73097522795
19,1,5,-1122.82240601595
19,2,5,-1122.82240601595
19,3,5,-1122.82240601595
19,4,5,-1122.82240601595
1,1,1,-2892.38778519383
1,2,1,-2892.38778519383
1,3,1,-2892.38778519383
1,4,1,-2892.38778519383
1,1,2,-2860.78111760699
1,2,2,-2860.78111760699
1,3,2,-2860.78111760699
1,4,2,-2860.78111760699
1,1,3,-2870.70377544013
1,2,3,-2870.70377544013
1,3,3,-2870.70377544013
1,4,3,-2870.70377544013
1,1,4,-2881.09486693764
1,2,4,-2881.09486693764
1,3,4,-2881.09486693764
1,4,4,-2881.09486693764
1,1,5,-2876.48290322499
1,2,5,-2876.48290322499
1,3,5,-2876.48290322499
1,4,5,-2876.48290322499
20,1,1,6.91902392808109
20,2,1,6.91902392808109
20,3,1,6.91902392808109
20,4,1,6.91902392808109
20,1,2,9.47105047766998
20,2,2,9.47105047766998
20,3,2,9.47105047766998
20,4,2,9.47105047766998
20,1,3,5.1329021642457
20,2,3,5.1329021642457
20,3,3,5.1329021642457
20,4,3,5.1329021642457
20,1,4,5.91669867233247
20,2,4,5.91669867233247
20,3,4,5.91669867233247
20,4,4,5.91669867233247
20,1,5,6.54464270497934
20,2,5,6.54464270497934
20,3,5,6.54464270497934
20,4,5,6.54464270497934
21,1,1,159.074275874285
21,2,1,159.074275874285
